circular_no,name,date,link
7.1.38,"Ministry of Rural Development order dated 28.8.2015 in respect of applicability of First,Second and Third Schedules of RFCTLARR Act,2013 to acquisitions under NH Act,1956- reg.",11.09.2015,https://library.nhai.org/nhailibrary/Assets/Pdf/7.1.38.pdf
7.1.40,Guidelines for submitting cases for approval of extension of Special Land Acquisiton Units (SLAUS)-reg.,04.09.2015,https://library.nhai.org/nhailibrary/Assets/Pdf/7.1.40.pdf
7.1.35,"Determination of market value for land acquired under NH Act,1956,w.e.f. 01.01.2015",24.08.2015,https://library.nhai.org/nhailibrary/Assets/Pdf/7.1.35.pdf
7.1.37,Procedure for transfer of defence land for public utilities and public infrastructure projects- guidelines of MOD dated 11.3.2015 forwarded vide MoRT&H letter No. 11011/03/2012-LA dated 12.5.2015- request for submission of proposal by Ros/PIUs as per format enclosed with the MOD\`s letter- guidelines-reg.,25.5.2015,https://library.nhai.org/nhailibrary/Assets/Pdf/7.1.37.pdf
7.1.36,"Applicability of the Right to Fair Compensation and Transparency in Land Acquisiton,Rehabilitation and Resettlement Act,2013 to land acquisiton under the National Highways Act,1956-Reg.",29.04.2015,https://library.nhai.org/nhailibrary/Assets/Pdf/7.1.36.pdf
7.1.34,Bunch matter\` and clubbing of land acquisition matters- clarification of doubts.,4.9.2014,https://library.nhai.org/nhailibrary/Assets/Pdf/7.1.34.pdf
7.1.33,Acquisition of missing plots from bulk acquisition through consent.,22.05.2014,https://library.nhai.org/nhailibrary/Assets/Pdf/7.1.33.pdf
7.1.32,Periodical review of land acquisition status with CALA and submission of report to NHAI HQ.,11.12.2013,https://library.nhai.org/nhailibrary/Assets/Pdf/7.1.32.pdf
7.1.31,Delegation of Powers pertaining to land acquisition to Regional Officers- Modification of Policy Circular No.NHAI/29/LA/ Policy dated 30.4.2010,30.9.2013,https://library.nhai.org/nhailibrary/Assets/Pdf/7.1.31.pdf
7.1.30,"Procedure to be followed for issuance of Notifications under National Highways (NH) Act,1956.",15.09.2011,https://library.nhai.org/nhailibrary/Assets/Pdf/7.1.30.pdf
7.1.29,"Land acquisiton under section 3,3A,to 3J of the National Highways Act,1956.",29.06.2011,https://library.nhai.org/nhailibrary/Assets/Pdf/7.1.29.pdf
7.1.28,Submission of files to Hon\`ble Minister of State (RT&H),04.05.2011,https://library.nhai.org/nhailibrary/Assets/Pdf/7.1.28.pdf
7.1.26,"Procedure for issuance of order for appointment of Arbitrator under Section 3G(5) of NH Act,1956.",01.03.2011,https://library.nhai.org/nhailibrary/Assets/Pdf/7.1.26.pdf
7.1.27,"Proposals of notification for Land Acquisiton under NH Act,1956.",02.02.2011,https://library.nhai.org/nhailibrary/Assets/Pdf/7.1.27.pdf
7.2.17,Peer review of Utility Shifting Works/ Estimates proposed by DPR Consultants: - Addendum to Policy Circular No 7.2.13/2021 dated 30.03.2021 and Policy Circular No. 7.2.14/2022 dated 17.06.2022- reg.,19.02.2025,https://library.nhai.org/nhailibrary/Assets/Pdf/7.2.17.pdf
7.2.16,Decentralization of review/approval process of Utility Shifting Works/ Estimates,20.09.2022,https://library.nhai.org/nhailibrary/Assets/Pdf/7.2.16.pdf
7.2.15,Guidelines for estimation of Shutdown charges for shifting of transmission power lines - reg.,08.07.2022,https://library.nhai.org/nhailibrary/Assets/Pdf/7.2.15.pdf
7.2.14,"Peer review of Utility Shifting Works/Estimates proposed by DPR Consultants:- Addendum to Policy Circular No 7.2.13/2021 , Dated 30th March,2021 - reg.",17.06.2022,https://library.nhai.org/nhailibrary/Assets/Pdf/7.2.14.pdf
7.2.13,Peer Review of Utility Shifting Works/ Estimates proposed by DPR Consultants-reg.,30.03.2021,https://library.nhai.org/nhailibrary/Assets/Pdf/7.2.13.pdf
7.2.12,Inclusion of Utility Shifting works in the RFPs/Bids as part of Civil Construction under Hybrid Annuity and EPC Mode- Amendment in policy circular dated 13.10.2020- reg.,15.01.2021,https://library.nhai.org/nhailibrary/Assets/Pdf/7.2.12.pdf
7.2.11,Revision of Delegation of Power to sanction the estimates of utility shifting and detailed instructions/guidelines for processing utility shifting estimates in view of serious findings of Vigilance.,06.01.2021,https://library.nhai.org/nhailibrary/Assets/Pdf/7.2.11.pdf
7.2.10,Inclusion of Utility Shifting works in the RFPs/Bids as part of Civil Construction under Hybrid Annuity and EPC Mode- Amendment in policy circular dated 06.03.2020 – reg.,13.10.2020,https://library.nhai.org/nhailibrary/Assets/Pdf/7.2.10.pdf
7.2.9,Inclusion of Utility Shifting works in the RFPs/Bids of Civil Work Contracts on Hybrid Annuity & EPC Modes.,27.05.2020,https://library.nhai.org/nhailibrary/Assets/Pdf/7.2.9.pdf
7.3.4,Comprehensive Policy Guidelines of recommended procedure for Fast Track construction of ROBs/RUBs on NHDP and Expeditious clearances/ approval of ROBs/ RUBs GAD/ Structural Design & Drawing/TAD/CRS/ Speed restriction/ Traffic block/ signing Agreement/ Depositing of charges etc.,20.06.2011,https://library.nhai.org/nhailibrary/Assets/Pdf/7.3.4.pdf
7.3.3,Grant of permission for construction of :\r\ni. ROBs/ RUBs by Railways and\r\nii. Flyover/under pass/ Foot over bridge/ canal crossing proposed by State Govt. Agencies across National Highways- Policy Guidelines thereof.,04.01.2011,https://library.nhai.org/nhailibrary/Assets/Pdf/7.3.3.pdf
7.3.2,Execution of ROBs- Design of superstructure.,25.11.2008,https://library.nhai.org/nhailibrary/Assets/Pdf/7.3.2.pdf
7.3.1,Safety measures at approach roads to the ROBs which are under construction.,16.09.2004,https://library.nhai.org/nhailibrary/Assets/Pdf/7.3.1.pdf
7.4.17,"Revised Standard Operating Procedure (SOP) for Implementation of Green Highways (Plantation, Transplantation, Beautification and Maintenance) Policy - 2015 -reg.",22.05.2025,https://library.nhai.org/nhailibrary/Assets/Pdf/7.4.17.pdf
7.4.16,Specifications of Saplings for Avenue and Median plantations - reg.,19.12.2024,https://library.nhai.org/nhailibrary/Assets/Pdf/7.4.16.pdf
7.4.15,Standard Operating Procedure (SOP) for Greening of National Highways through CSR Scheme of Plantation- reg.,21.10.2024,https://library.nhai.org/nhailibrary/Assets/Pdf/7.4.15.pdf
7.4.14,"Revised Standard Operating Procedure (SOP) for Implementation of Green Highways (Plantation, Transplantation, Beautification and Maintenance) Policy - 2015 - reg.",02.09.2024,https://library.nhai.org/nhailibrary/Assets/Pdf/7.4.14.pdf
7.4.13,Regarding Nerium and Thevetia species plantations on National Highways.-reg.,01.08.2023,https://library.nhai.org/nhailibrary/Assets/Pdf/7.4.13.pdf
7.4.12,"Role of Joint Advisors (Environment & Plantation) posted at ROs w.r.t Enumeration of trees, Identification of Compensatory Afforestation areas, preparation of Feasibility Study Report, Evaluation of alternative alignment etc and in preparation of reply to the Essential Details Sought by Forest Departments.",12.07.2023,https://library.nhai.org/nhailibrary/Assets/Pdf/7.4.12.pdf
7.4.11,"Densification of Plantations including Planting of Bamboo, Initiating the Plantations in ROW from the Appointed date, Conservation of Existing Trees in ROW at the time of Initiating the Construction of Highway",03.07.2023,https://library.nhai.org/nhailibrary/Assets/Pdf/7.4.11.pdf
7.4.10,Regarding Nerium and Thevetia species plantations on National Highways,06.04.2023,https://library.nhai.org/nhailibrary/Assets/Pdf/7.4.10.pdf
7.4.9,Delinking Avenue Plantations from EPC/HAM/BOT Toll Projects.,15.03.2023,https://library.nhai.org/nhailibrary/Assets/Pdf/7.4.9.pdf
7.4.8,Specification for Avenue and Median Plantations - reg.,06.10.2022,https://library.nhai.org/nhailibrary/Assets/Pdf/7.4.8.pdf
7.4.7,Specification for Avenue and Median Plantations  - reg.,12.07.2022,https://library.nhai.org/nhailibrary/Assets/Pdf/7.4.7.pdf
7.4.6,Tree Transplantation Guidelines - Standard Operating Protocol (SOP)- reg.,19.04.2022,https://library.nhai.org/nhailibrary/Assets/Pdf/7.4.6.pdf
7.4.5,"Delegation of Powers to ROs for Green Highways Projects (Plantation, Transplantation, Beautification and Maintenance)",23.10.2017,https://library.nhai.org/nhailibrary/Assets/Pdf/7.4.5.pdf
7.4.4,Implementation of Green Highway Projects - reg.,24.07.2017,https://library.nhai.org/nhailibrary/Assets/Pdf/7.4.4.pdf
7.4.3,Guidelines for Implementing Green Highway Projects  -  reg.,13.07.2017,https://library.nhai.org/nhailibrary/Assets/Pdf/7.4.3.pdf
7.4.2,Plantation along completed stretches,07.10.2014,https://library.nhai.org/nhailibrary/Assets/Pdf/7.4.2.pdf
7.4.1,Guidelines on implementation of the National Policy on Resettlement and Rehabilitation (NPRR)-reg.,30.06.2006,https://library.nhai.org/nhailibrary/Assets/Pdf/7.4.1.pdf
7.5.3,Delegation of powers for matters pertaining Highway Administration to Regional Officers of NHAI.,03.11.2020,https://library.nhai.org/nhailibrary/Assets/Pdf/7.5.3.pdf
7.5.2,Delegation of powers for matters pertaining Highway Administration to Regional officers of NHAI.,16.03.2020,https://library.nhai.org/nhailibrary/Assets/Pdf/7.5.2.pdf
7.5.1,"The Control of National Highways (Land & Traffic) Act,2002- Procedural Rules for National Highways Administration.",09.03.2005,https://library.nhai.org/nhailibrary/Assets/Pdf/7.5.1.pdf
8.1.27,Standard Replies of NHAI for Common Pre-bid queries in HAM Projects – reg.,06.03.2024,https://library.nhai.org/nhailibrary/Assets/Pdf/8.1.27.pdf
8.1.26,Schedule of Bidding Process to be included while inviting RFP - reg.,26.08.2022,https://library.nhai.org/nhailibrary/Assets/Pdf/8.1.26.pdf
8.1.25,Schedule of Bidding Process to be included while inviting RFP - reg.,01.08.2022,https://library.nhai.org/nhailibrary/Assets/Pdf/8.1.25.pdf
8.1.24,Schedule of Bidding Process to be included while inviting RFP - reg.,28.07.2022,https://library.nhai.org/nhailibrary/Assets/Pdf/8.1.24.pdf
8.1.23,Formation of Special Task Force to monitor timely procurements : Projects balance for award and projects awarded but appointed date not yet given.,24.07.2017,https://library.nhai.org/nhailibrary/Assets/Pdf/8.1.23.pdf
8.1.20,Approval of BOT (Toll) bids for award of works,19.09.2016,https://library.nhai.org/nhailibrary/Assets/Pdf/8.1.20.pdf
8.1.22,Adherence to the time line stipulated in the RFQ document for PPP Projects,26.02.2016,https://library.nhai.org/nhailibrary/Assets/Pdf/8.1.22.pdf
8.1.21,Delegation of powers for approval of bids for award of works under Hybrid Annuity mode,15.02.2016,https://library.nhai.org/nhailibrary/Assets/Pdf/8.1.21.pdf
8.1.19,"Delegation of powers for approval of bids for awrd of works under EPC/ item rate mode,OMT projects and collection of user fee.",27.05.2015,https://library.nhai.org/nhailibrary/Assets/Pdf/8.1.19.pdf
8.1.18,Appraisal of PPP projects standardize the formulation and appraisal parameters,20.06.2014,https://library.nhai.org/nhailibrary/Assets/Pdf/8.1.18.pdf
8.1.17,Pre-appraisal meeting in Planning Commission.,22.05.2014,https://library.nhai.org/nhailibrary/Assets/Pdf/8.1.17.pdf
8.1.16,Criteria for PPPAC approval,07.01.2013,https://library.nhai.org/nhailibrary/Assets/Pdf/8.1.16.pdf
8.1.13,"Delegation of Power for signing Letter of Intent (LOI),concession agreement,substitution agreement and ESCROW Agreement",20.07.2012,https://library.nhai.org/nhailibrary/Assets/Pdf/8.1.13.pdf
8.1.14,Delegation of Power during intermediate stages in Pre-qualification of bidders in procurement of PPP projects,16.7.2012,https://library.nhai.org/nhailibrary/Assets/Pdf/8.1.14.pdf
8.1.15,Award of Annuity Projects by NHAI,21.05.2012,https://library.nhai.org/nhailibrary/Assets/Pdf/8.1.15.pdf
8.1.12,Opneing of bids,05.09.2011,https://library.nhai.org/nhailibrary/Assets/Pdf/8.1.12.pdf
8.1.11,Approval of bids for award of works under BOT (Annuity) mode,31.03.2011,https://library.nhai.org/nhailibrary/Assets/Pdf/8.1.11.pdf
8.1.10,Adjustmet of cost of RFQ and RFQ document,30.11.2010,https://library.nhai.org/nhailibrary/Assets/Pdf/8.1.10.pdf
8.1.9,Procurement of NHAI projects on BOT (Toll/Annuity) under PPP Mode: Total Project Cost (TPC) thereof.,01.07.2010,https://library.nhai.org/nhailibrary/Assets/Pdf/8.1.9.pdf
8.1.8,Submission of documents with RFQ Application- Clarification- Corrigendum-reg.,26.04.2010,https://library.nhai.org/nhailibrary/Assets/Pdf/8.1.8.pdf
8.1.7,Amendments in RFP (Vol.I) vide Circular,17.03.2010,https://library.nhai.org/nhailibrary/Assets/Pdf/8.1.7.pdf
8.1.6,Approval of bids for the award of works.,22.01.2010,https://library.nhai.org/nhailibrary/Assets/Pdf/8.1.6.pdf
8.1.5,The ongoing project award process.,04.05.2009,https://library.nhai.org/nhailibrary/Assets/Pdf/8.1.5.pdf
8.1.4,Problem related to the repair of road and using mechanical aids such as mechanized cutters and hot mix propelled in the bid document.,22.04.2009,https://library.nhai.org/nhailibrary/Assets/Pdf/8.1.4.pdf
8.1.3,Handing over of completed 4-laned/6-laned sections to Corridor Management,13.10.2008,https://library.nhai.org/nhailibrary/Assets/Pdf/8.1.3.pdf
8.1.2,"Approval regarding requiremnt of crane,mechanized broomer/dust sucker vehicle in O&M contracts and release of 75% payment for variation in BOQ items and provision of GPS and GIS.",01.08.2008,https://library.nhai.org/nhailibrary/Assets/Pdf/8.1.2.pdf
8.1.1,Guidelines for acceptance and award of single tenders,17.05.2006,https://library.nhai.org/nhailibrary/Assets/Pdf/8.1.1.pdf
8.2.10,Guidelines on the process to be followed for declaring Financial Close of all PPP Projects,19.01.2022,https://library.nhai.org/nhailibrary/Assets/Pdf/8.2.10.pdf
8.2.9,"Guidelines on the process to be followed for declaring Financial Close of 	all PPP Projects",03.06.2021,https://library.nhai.org/nhailibrary/Assets/Pdf/8.2.9.pdf
8.2.8,Delegation of power for declaration of financial closure date for the project under HAM/PPP mode-reg.,31.12.2018,https://library.nhai.org/nhailibrary/Assets/Pdf/8.2.8.pdf
8.2.7,Non-fulfillment of conditions precedent under the Concession Agreement-Delay in submission of Performance Security,29.5.2013,https://library.nhai.org/nhailibrary/Assets/Pdf/8.2.7.pdf
8.2.6,Non availability of forest clearance/wild life celarances for on going BOT (Toll) Projects affecting the issue of completion certificate/COD by NHAI.,24.01.2013,https://library.nhai.org/nhailibrary/Assets/Pdf/8.2.6.pdf
8.2.5,Financial closure of BOT projects.,09.09.2011,https://library.nhai.org/nhailibrary/Assets/Pdf/8.2.5.pdf
8.2.4,Procurement of NHAI Projects on BOT (Toll/Annuity) under PPP Mode: Opening of Escrow Account-Clarification thereof,16.06.2010,https://library.nhai.org/nhailibrary/Assets/Pdf/8.2.4.pdf
8.2.3,Scrutiny of Financial documents submitted by BOT concessionaires and declaration of Financial Close date.,12.05.2010,https://library.nhai.org/nhailibrary/Assets/Pdf/8.2.3.pdf
8.2.2,Signing of State Support Agreement.,16.12.2009,https://library.nhai.org/nhailibrary/Assets/Pdf/8.2.2.pdf
8.2.1,Financial close in BOT projects.,08.12.2009,https://library.nhai.org/nhailibrary/Assets/Pdf/8.2.1.pdf
8.3.47,Delegation of Power for release of 75% compensation towards Force Majeure Cost Claims arising due to Farmer Agitation as Indirect Political Event under BOT (Toll) Concessions -reg.,22.11.2024,https://library.nhai.org/nhailibrary/Assets/Pdf/8.3.47.pdf
8.3.46,Clarification and Methodology to be adopted for acceptance of Boundary Wall constructed along ROW (Right of Way) in Greenfield Alignments on NHs/Expressways - reg.,03.09.2024,https://library.nhai.org/nhailibrary/Assets/Pdf/8.3.46.pdf
8.3.45,Amendment to NHAI/Policy Guidelines/ PPP (DBFOT) No. 8.3.36/2020 dated 10.07.2020 -reg.,16.11.2023,https://library.nhai.org/nhailibrary/Assets/Pdf/8.3.45.pdf
8.3.44,Methodology for calculation of Force Majeure Cost arising due to Farmer Agitation as Indirect Political Event under clause 34.7 of Concession Agreement- reg.,19.04.2022,https://library.nhai.org/nhailibrary/Assets/Pdf/8.3.44.pdf
8.3.43,Expenditure to be taken into account while considering a proposal for releasing Performance Security in reference to Article 9.3 of Model Concession Agreement (MCA) of Hybrid Annuity Mode (HAM) project,17.01.2022,https://library.nhai.org/nhailibrary/Assets/Pdf/8.3.43.pdf
8.3.42,Clarification on status of claims / accrued claims post transfer of 100% shares in the PPP Projects,10.12.2021,https://library.nhai.org/nhailibrary/Assets/Pdf/8.3.42.pdf
8.3.41,Serious Delays in taking in-principle approvals of Change of Scope (COS) & Reduction in Scope (RIS)- reg.,24.08.2021,https://library.nhai.org/nhailibrary/Assets/Pdf/8.3.41.pdf
8.3.40,Policy Circular on forceful stoppage of toll collection at toll plazas on NH due to Farmer’s Agitation. – Relief to be provided to BOT (Toll) concessionaires.,02.07.2021,https://library.nhai.org/nhailibrary/Assets/Pdf/8.3.40.pdf
8.3.39,Relaxation in the Change of Ownership clause in Hybrid Annuity Model (HAM) Projects after 6 months of completion – reg.,31.12.2020,https://library.nhai.org/nhailibrary/Assets/Pdf/8.3.39.pdf
8.3.38,Relief to the OMT Concessionaires relating to force majeure in the concession agreement due to COVID-19.,16.09.2020,https://library.nhai.org/nhailibrary/Assets/Pdf/8.3.38.pdf
8.3.37,HAM Projects- SoP on Reduction in Scope of the Project Works in remaining sites not provided within the period of AD + 20% of CP,14.08.2020,https://library.nhai.org/nhailibrary/Assets/Pdf/8.3.37.pdf
8.3.36,"Guidelines for determination of Cost of Change of Scope (COS)/Reduction in Scope (RIS)/Withdrawal of works/Alteration (Change/omission in existing item) in Works in DBFOT Projects- Applicable Schedule of Rates, Design Charges and Maintenance Charges-Regarding.",10.07.2020,https://library.nhai.org/nhailibrary/Assets/Pdf/8.3.36.pdf
8.3.35,HAM Projects - SoP for removing from the scope of work the remaining site not provided to Concessionaire within the period of the Appointed Date plus 20% of construction period.,09.07.2020,https://library.nhai.org/nhailibrary/Assets/Pdf/8.3.35.pdf
8.3.34,"Guidelines for determination of Cost of Change of Scope (COS)/ Reduction in Scope (RIS) due to Withdrawal of works/ Alteration(Change/omission in existing item) in Works in Hybrid Annuity Mode (HAM) Projects- Applicable Schedule of Rates, Design Charges, Maintenance Charges regarding.",10.06.2020,https://library.nhai.org/nhailibrary/Assets/Pdf/8.3.34.pdf
8.3.33,Relief Measures to the BOT (Toll) Concessionaires from the impact of COVID-19 - reg.,26.05.2020,https://library.nhai.org/nhailibrary/Assets/Pdf/8.3.33.pdf
8.3.32,Establishment of Rational-cum-Pragmatic Settlement Approach for calculating the amount of damages to be imposed on the Concessionaire of BOT (Toll/Annuity) projects on account of delay in periodic maintenance work-reg.,05.02.2018,https://library.nhai.org/nhailibrary/Assets/Pdf/8.3.32.pdf
8.3.31,Securitization of future cash flow in BOT (Annuity) Projects.,20.09.2017,https://library.nhai.org/nhailibrary/Assets/Pdf/8.3.31.pdf
8.3.30,Interpretation regarding change of scope on account of changes caused for Railways while approving the General Arrangement Drawsings in BOT Projects,02.05.2016,https://library.nhai.org/nhailibrary/Assets/Pdf/8.3.30.pdf
8.3.29,Issuance of Completion Certificate or Provisional Completion Certificate in respect of PPP project by Independent Engineer.,21.12.2015,https://library.nhai.org/nhailibrary/Assets/Pdf/8.3.29.pdf
8.3.28,Issuance of completion certificate or Provisional Completion Certificate in respect of PPP Projects.,22.05.2015,https://library.nhai.org/nhailibrary/Assets/Pdf/8.3.28.pdf
8.3.27,Issuance of Completion Certificate or Provisional Completion Certificate in respect of PPP Projects.,24.04.2015,https://library.nhai.org/nhailibrary/Assets/Pdf/8.3.27.pdf
8.3.26,Non-availability of Forest Clearances/Wild Life Clerances for on-going BOT (Toll) projects affecting the issue of Compeltion Certificate/COD by NHAI.,24.04.2015,https://library.nhai.org/nhailibrary/Assets/Pdf/8.3.26.pdf
8.3.25,Provisional Completion Certificate/Completion Certificate for BOT projects,20.04.2015,https://library.nhai.org/nhailibrary/Assets/Pdf/8.3.25.pdf
8.3.24,Issue of Provisional Completion Certificate/Completion Certificate,18.11.2014,https://library.nhai.org/nhailibrary/Assets/Pdf/8.3.24.pdf
8.3.23,Repair and maintenance of entrusted highway stretches,10.10.2014,https://library.nhai.org/nhailibrary/Assets/Pdf/8.3.23.pdf
8.3.22,Operation and Maintenance of PPP projects on BOT (Toll)/ Annuity mode during Operation Period.,09.10.2014,https://library.nhai.org/nhailibrary/Assets/Pdf/8.3.22.pdf
8.3.21,"Construction of public facility i.e. Traffic Aid Post,Medical Aid Post and washroom,at Toll Plazas along NHs and Maintenance thereof under OMT,BOT (Toll ) & BOT (Annuity) Contracts.",31.07.2014,https://library.nhai.org/nhailibrary/Assets/Pdf/8.3.21.pdf
8.3.20,Strict compliance of procedure to deal with correspondences and notices in BOT Concessions.,08.07.2014,https://library.nhai.org/nhailibrary/Assets/Pdf/8.3.20.pdf
8.3.19,Issue of policy guidelines for delegation of powers for approval of Change of Scope (COS) in BOT National Highway Projects- (Revised),20.06.2014,https://library.nhai.org/nhailibrary/Assets/Pdf/8.3.19.pdf
8.3.18,Contract Management: dealing with correspondence and notices in BOT Concessions.,6.2.2014,https://library.nhai.org/nhailibrary/Assets/Pdf/8.3.18.pdf
8.3.17,Post award monitoring of PPP Projects.,10.01.2014,https://library.nhai.org/nhailibrary/Assets/Pdf/8.3.17.pdf
8.3.16,Monitoring of Traffic on the Project Highway and various facilities under DBFOT (Toll/Annuity)/ OMT projects.,12.7.2013,https://library.nhai.org/nhailibrary/Assets/Pdf/8.3.16.pdf
8.3.15,Policy on allowing construction of Reinforced Earth Retaining Wall (RET) for heights more than 6 m in DBFOT projects.,4.6.2013,https://library.nhai.org/nhailibrary/Assets/Pdf/8.3.15.pdf
8.3.14,Securitization of future cash flow in BOT (Toll) projects,29.5.2013,https://library.nhai.org/nhailibrary/Assets/Pdf/8.3.14.pdf
8.3.13,Constitution of 3 GMs Committee for approval of detailed estimate for change of scope order,05.04.2013,https://library.nhai.org/nhailibrary/Assets/Pdf/8.3.13.pdf
8.3.12,Guidelines for timely decision/settlment of issues related to projects,11.10.2012,https://library.nhai.org/nhailibrary/Assets/Pdf/8.3.12.pdf
8.3.11,Creation of & Maintenance of Master files for BOT projects in electronic form-reg.,03.10.2012,https://library.nhai.org/nhailibrary/Assets/Pdf/8.3.11.pdf
8.3.10,Contract Management of Concessions in NHAI projects,24.08.2012,https://library.nhai.org/nhailibrary/Assets/Pdf/8.3.10.pdf
8.3.9,Claims of the Concessionaires/ Contractors in the ongoing BOTEPC projects,30.07.2012,https://library.nhai.org/nhailibrary/Assets/Pdf/8.3.9.pdf
8.3.8,Delegation of Powers with respect to Change of Scope in PPP projects.,04.07.2012,https://library.nhai.org/nhailibrary/Assets/Pdf/8.3.8.pdf
8.3.7,Monitoring of PPP projects as per Guidelines issued by Planning Commission,2.11.2011,https://library.nhai.org/nhailibrary/Assets/Pdf/8.3.7.pdf
8.3.6,Contract Agreements (EPC Works)/ Concessino Agreeemnts (BOT/ Annuity Projects)/ Consultancy Agreements for Feasibility Study & DPR/ Supervision Consultancy and Agreements for Independent Consultancy Services- Authorized Representative of Employer (NHAI),06.06.2011,https://library.nhai.org/nhailibrary/Assets/Pdf/8.3.6.pdf
8.3.5,Ceiling on Variations/ Change in Scope for BOT contracts.,03.02.2011,https://library.nhai.org/nhailibrary/Assets/Pdf/8.3.5.pdf
8.3.4,Provision for overloading of vehicles in the Model Concession Agreement (MCA),8.11.2010,https://library.nhai.org/nhailibrary/Assets/Pdf/8.3.4.pdf
8.3.3,Timelines for processing of extension or damages caes for completion of various milestones on BOT Projects under PPP mode.,06.07.2010,https://library.nhai.org/nhailibrary/Assets/Pdf/8.3.3.pdf
8.3.2,Maintenance of existing roads in traffic worthy condition in PPP projects.,19.01.2010,https://library.nhai.org/nhailibrary/Assets/Pdf/8.3.2.pdf
8.3.1,(a) procedure for payment under Change of Scope Orders in case of BOT projects; and (b) Recovery of 20% of value of work not completed upon termination of contract on accountof default of the contractor as per Sub-CI 63.3 of COPA under NHDP Phase-II Standard Document.,07.10.2008,https://library.nhai.org/nhailibrary/Assets/Pdf/8.3.1.pdf
8.4.49,Interest Rate Applicable for HAM projects -Interest under clause 23.6.4.reg.,26.04.2025,https://library.nhai.org/nhailibrary/Assets/Pdf/8.4.49.pdf
8.4.48,Interest Rate Applicable for HAM Projects - Interest under clause 23.6.4-reg.,06.01.2025,https://library.nhai.org/nhailibrary/Assets/Pdf/8.4.48.pdf
8.4.47,Clarification regarding payment adjusted to the Price Index Multiple as applicable on the Reference Index Date during Construction Period as per Clause 23.4 vis-a-vis provisions under Clause 12.3.2 0f MCA of HAM Projects,05.12.2024,https://library.nhai.org/nhailibrary/Assets/Pdf/8.4.47.pdf
8.4.46,Interest Rate Applicable for HAM Projects - Interest under clause 23.6.4,04.10.2024,https://library.nhai.org/nhailibrary/Assets/Pdf/8.4.46.pdf
8.4.45,Interest Rate Applicable for HAM Projects-Interest under clause 23.6.4-reg.,08.07.2024,https://library.nhai.org/nhailibrary/Assets/Pdf/8.4.45.pdf
8.4.44,Interest Rate Applicable for HAM Projects-Interest under clause 23.6.4-reg.,08.04.2024,https://library.nhai.org/nhailibrary/Assets/Pdf/8.4.44.pdf
8.4.43,Interest Rate Applicable for HAM Projects-Interest under clause 23.6.4-reg.,05.01.2024,https://library.nhai.org/nhailibrary/Assets/Pdf/8.4.43.pdf
8.4.42,"एचएएम परियोजनाओं के लिए लागू ब्याज दर-खंड 23.6.4 के तहत ब्याज.
Interest Rate Applicable for HAM Projects-Interest under clause- 23.6.4-reg.",10.10.2023,https://library.nhai.org/nhailibrary/Assets/Pdf/8.4.42.pdf
8.4.41,"एचएएम परियोजनाओं के लिए लागू ब्याज दर-खंड 23.6.4 के तहत ब्याज
Interest Rate Applicable for HAM Projects-Interest under clause 23.6.4. -reg.",10.07.2023,https://library.nhai.org/nhailibrary/Assets/Pdf/8.4.41.pdf
8.4.40,Supplementary Agreement for 100% Change of Shareholding & Refinancing in Respect of PPP Projects,27.04.2023,https://library.nhai.org/nhailibrary/Assets/Pdf/8.4.40.pdf
8.4.39,Interest Rate Applicable for HAM Projects- Interest under Clause 23.6.4,25.04.2023,https://library.nhai.org/nhailibrary/Assets/Pdf/8.4.39.pdf
8.4.38,Supplementary agreement for 100% change of shareholding & refinancing in respect of PPP Projects-reg.,13.02.2023,https://library.nhai.org/nhailibrary/Assets/Pdf/8.4.38.pdf
8.4.37,Interest Rate Applicable for HAM Projects-Interest under clause 23.6.4,10.01.2023,https://library.nhai.org/nhailibrary/Assets/Pdf/8.4.37.pdf
8.4.36,"Guidelines on the process to be followed by for filling of Authority Claims with IRP/RP Under The Insolvency and bankruptcy code,2016 (hereinafter “IBC2016”) - reg.",08.12.2022,https://library.nhai.org/nhailibrary/Assets/Pdf/8.4.36.pdf
8.4.35,Interest Rate Applicable for HAM Projects-Interest under clause 23.6.4 - reg.,12.10.2022,https://library.nhai.org/nhailibrary/Assets/Pdf/8.4.35.pdf
8.4.34,Interest Rate Applicable for HAM Projects-Interest under clause 23.6.4 - reg.,07.07.2022,https://library.nhai.org/nhailibrary/Assets/Pdf/8.4.34.pdf
8.4.33,SOP to check Escrow Defaults & strengthening of NHAI defense against Claims of Concessionaire in Conciliation or / and Arbitration matters – reg.,27.05.2022,https://library.nhai.org/nhailibrary/Assets/Pdf/8.4.33.pdf
8.4.32,Interest Rate Applicable for HAM Projects-Interest under clause 23.6.4- reg,08.04.2022,https://library.nhai.org/nhailibrary/Assets/Pdf/8.4.32.pdf
8.4.31,Interest Rate Applicable for HAM Projects-Interest under clause 23.6.4- reg,12.01.2022,https://library.nhai.org/nhailibrary/Assets/Pdf/8.4.31.pdf
8.4.30,Interest Rate applicable for HAM Projects- Interest under Article 23.6.4,14.10.2021,https://library.nhai.org/nhailibrary/Assets/Pdf/8.4.30.pdf
8.4.29,Interest Rate applicable for HAM Projects- Interest under Article 23.6.4- reg.,06.10.2021,https://library.nhai.org/nhailibrary/Assets/Pdf/8.4.29.pdf
